Date,Day,Open,High,Low,Close,Adj Open,Adj High,Adj Close
9/1/04,Wed,0.00,0.00,0.00,0.00,3.42,3.46,3.46
9/2/04,Thurs,0.00,0.00,0.00,0.00,3.46,3.60,3.60
9/3/04,Fri,0.00,0.00,0.00,0.00,3.60,3.62,3.62
9/7/04,Tues,0.00,0.00,0.00,0.00,3.62,3.70,3.70
9/8/04,Wed,0.00,0.00,0.00,0.00,3.70,3.72,3.72
9/9/04,Thurs,0.00,0.00,0.00,0.00,3.72,3.75,3.75
9/10/04,Fri,0.00,0.00,0.00,0.00,3.75,3.79,3.79
9/13/04,Mon,0.00,0.00,0.00,0.00,3.79,3.86,3.86
9/14/04,Tues,0.00,0.00,0.00,0.00,3.86,3.96,3.96
9/15/04,Wed,0.00,0.00,0.00,0.00,3.96,3.89,3.89
9/16/04,Thurs,0.00,0.00,0.00,0.00,3.89,3.88,3.88
9/17/04,Fri,0.00,0.00,0.00,0.00,3.88,3.87,3.87
9/20/04,Mon,0.00,0.00,0.00,0.00,3.87,3.84,3.84
9/21/04,Tues,0.00,0.00,0.00,0.00,3.84,3.92,3.92
9/22/04,Wed,0.00,0.00,0.00,0.00,3.92,3.85,3.85
9/23/04,Thurs,0.00,0.00,0.00,0.00,3.85,3.85,3.85
9/24/04,Fri,0.00,0.00,0.00,0.00,3.85,3.90,3.90
9/27/04,Mon,0.00,0.00,0.00,0.00,3.90,3.86,3.86
9/28/04,Tues,0.00,0.00,0.00,0.00,3.86,3.98,3.98
9/29/04,Wed,0.00,0.00,0.00,0.00,3.98,4.11,4.11
9/30/04,Thurs,0.00,0.00,0.00,0.00,4.11,4.15,4.15
10/1/04,Fri,0.00,0.00,0.00,0.00,4.15,4.33,4.33
10/4/04,Mon,0.00,0.00,0.00,0.00,4.33,4.28,4.28
10/5/04,Tues,0.00,0.00,0.00,0.00,4.28,4.27,4.27
10/6/04,Wed,0.00,0.00,0.00,0.00,4.27,4.36,4.36
10/7/04,Thurs,0.00,0.00,0.00,0.00,4.36,4.25,4.25
10/8/04,Fri,0.00,0.00,0.00,0.00,4.25,4.15,4.15
10/11/04,Mon,0.00,0.00,0.00,0.00,4.15,4.14,4.14
10/12/04,Tues,0.00,0.00,0.00,0.00,4.14,4.06,4.06
10/13/04,Wed,0.00,0.00,0.00,0.00,4.06,4.01,4.01
10/14/04,Thurs,0.00,0.00,0.00,0.00,4.01,3.93,3.93
10/15/04,Fri,0.00,0.00,0.00,0.00,3.93,4.00,4.00
10/18/04,Mon,0.00,0.00,0.00,0.00,4.00,4.13,4.13
10/19/04,Tues,0.00,0.00,0.00,0.00,4.13,4.10,4.10
10/20/04,Wed,0.00,0.00,0.00,0.00,4.10,3.98,3.98
10/21/04,Thurs,0.00,0.00,0.00,0.00,3.98,4.16,4.16
10/22/04,Fri,0.00,0.00,0.00,0.00,4.16,4.07,4.07
10/25/04,Mon,0.00,0.00,0.00,0.00,4.07,3.96,3.96
10/26/04,Tues,0.00,0.00,0.00,0.00,3.96,4.04,4.04
10/27/04,Wed,0.00,0.00,0.00,0.00,4.04,4.03,4.03
10/28/04,Thurs,0.00,0.00,0.00,0.00,4.03,4.09,4.09
10/29/04,Fri,0.00,0.00,0.00,0.00,4.09,4.08,4.08
11/1/04,Mon,0.00,0.00,0.00,0.00,4.08,4.06,4.06
11/2/04,Tues,0.00,0.00,0.00,0.00,4.06,4.17,4.17
11/3/04,Wed,0.00,0.00,0.00,0.00,4.17,4.39,4.39
11/4/04,Thurs,0.00,0.00,0.00,0.00,4.39,4.55,4.55
11/5/04,Fri,0.00,0.00,0.00,0.00,4.55,4.58,4.58
11/8/04,Mon,0.00,0.00,0.00,0.00,4.58,4.53,4.53
11/9/04,Tues,0.00,0.00,0.00,0.00,4.53,4.58,4.58
11/10/04,Wed,0.00,0.00,0.00,0.00,4.58,4.70,4.70
11/11/04,Thurs,0.00,0.00,0.00,0.00,4.70,4.79,4.79
11/12/04,Fri,0.00,0.00,0.00,0.00,4.79,4.79,4.79
11/15/04,Mon,0.00,0.00,0.00,0.00,4.79,4.78,4.78
11/16/04,Tues,0.00,0.00,0.00,0.00,4.78,4.75,4.75
11/17/04,Wed,0.00,0.00,0.00,0.00,4.75,4.73,4.73
11/18/04,Thurs,0.00,0.00,0.00,0.00,4.73,4.77,4.77
11/19/04,Fri,0.00,0.00,0.00,0.00,4.77,4.63,4.63
11/22/04,Mon,0.00,0.00,0.00,0.00,4.63,4.74,4.74
11/23/04,Tues,0.00,0.00,0.00,0.00,4.74,4.80,4.80
11/24/04,Wed,0.00,0.00,0.00,0.00,4.80,4.81,4.81
11/26/04,Fri,0.00,0.00,0.00,0.00,4.81,4.81,4.81
11/29/04,Mon,0.00,0.00,0.00,0.00,4.81,4.74,4.74
11/30/04,Tues,0.00,0.00,0.00,0.00,4.74,4.74,4.74
12/1/04,Wed,0.00,0.00,0.00,0.00,4.74,4.81,4.81
12/2/04,Thurs,0.00,0.00,0.00,0.00,4.81,4.82,4.82
12/3/04,Fri,0.00,0.00,0.00,0.00,4.82,4.83,4.83
12/6/04,Mon,0.00,0.00,0.00,0.00,4.83,4.95,4.95
12/7/04,Tues,0.00,0.00,0.00,0.00,4.95,4.85,4.85
12/8/04,Wed,0.00,0.00,0.00,0.00,4.85,4.93,4.93
12/9/04,Thurs,0.00,0.00,0.00,0.00,4.93,4.97,4.97
12/10/04,Fri,0.00,0.00,0.00,0.00,4.97,5.00,5.00
12/13/04,Mon,0.00,0.00,0.00,0.00,5.00,5.10,5.10
12/14/04,Tues,0.00,0.00,0.00,0.00,5.10,5.08,5.08
12/15/04,Wed,0.00,0.00,0.00,0.00,5.08,5.08,5.08
12/16/04,Thurs,0.00,0.00,0.00,0.00,5.08,5.14,5.14
12/17/04,Fri,0.00,0.00,0.00,0.00,5.14,5.13,5.13
12/20/04,Mon,0.00,0.00,0.00,0.00,5.13,5.15,5.15
12/21/04,Tues,0.00,0.00,0.00,0.00,5.15,5.25,5.25
12/22/04,Wed,0.00,0.00,0.00,0.00,5.25,5.24,5.24
12/23/04,Thurs,0.00,0.00,0.00,0.00,5.24,5.27,5.27
12/27/04,Mon,0.00,0.00,0.00,0.00,5.27,5.26,5.26
12/28/04,Tues,0.00,0.00,0.00,0.00,5.26,5.26,5.26
12/29/04,Wed,0.00,0.00,0.00,0.00,5.26,5.26,5.26
12/30/04,Thurs,0.00,0.00,0.00,0.00,5.26,5.24,5.24
12/31/04,Fri,0.00,0.00,0.00,0.00,5.24,5.22,5.22
1/3/05,Mon,0.00,0.00,0.00,0.00,5.22,5.13,5.13
1/4/05,Tues,0.00,0.00,0.00,0.00,5.13,5.07,5.07
1/5/05,Wed,0.00,0.00,0.00,0.00,5.07,5.08,5.08
1/6/05,Thurs,0.00,0.00,0.00,0.00,5.08,5.18,5.18
1/7/05,Fri,0.00,0.00,0.00,0.00,5.18,5.21,5.21
1/10/05,Mon,0.00,0.00,0.00,0.00,5.21,5.27,5.27
1/11/05,Tues,0.00,0.00,0.00,0.00,5.27,5.22,5.22
1/12/05,Wed,0.00,0.00,0.00,0.00,5.22,5.38,5.38
1/13/05,Thurs,0.00,0.00,0.00,0.00,5.38,5.37,5.37
1/14/05,Fri,0.00,0.00,0.00,0.00,5.37,5.44,5.44
1/18/05,Tues,0.00,0.00,0.00,0.00,5.44,5.61,5.61
1/19/05,Wed,0.00,0.00,0.00,0.00,5.61,5.54,5.54
1/20/05,Thurs,0.00,0.00,0.00,0.00,5.54,5.48,5.48
1/21/05,Fri,0.00,0.00,0.00,0.00,5.48,5.37,5.37
1/24/05,Mon,0.00,0.00,0.00,0.00,5.37,5.41,5.41
1/25/05,Tues,0.00,0.00,0.00,0.00,5.41,5.45,5.45
1/26/05,Wed,0.00,0.00,0.00,0.00,5.45,5.54,5.54
1/27/05,Thurs,0.00,0.00,0.00,0.00,5.54,5.61,5.61
1/28/05,Fri,0.00,0.00,0.00,0.00,5.61,5.66,5.66
1/31/05,Mon,0.00,0.00,0.00,0.00,5.66,5.73,5.73
2/1/05,Tues,0.00,0.00,0.00,0.00,5.73,5.92,5.92
2/2/05,Wed,0.00,0.00,0.00,0.00,5.92,6.19,6.19
2/3/05,Thurs,0.00,0.00,0.00,0.00,6.19,6.22,6.22
2/4/05,Fri,0.00,0.00,0.00,0.00,6.22,6.52,6.52
2/7/05,Mon,0.00,0.00,0.00,0.00,6.52,6.51,6.51
2/8/05,Tues,0.00,0.00,0.00,0.00,6.51,6.47,6.47
2/9/05,Wed,0.00,0.00,0.00,0.00,6.47,6.42,6.42
2/10/05,Thurs,0.00,0.00,0.00,0.00,6.42,6.53,6.53
2/11/05,Fri,0.00,0.00,0.00,0.00,6.53,6.69,6.69
2/14/05,Mon,0.00,0.00,0.00,0.00,6.69,6.63,6.63
2/15/05,Tues,0.00,0.00,0.00,0.00,6.63,6.61,6.61
